,JobId,EngineeringSoldkWSize,EngineeringSoldAnnualkWh,EnergyConsumption,Region,State,Zip,AHJ,RoofType,RoofSqFoot,NumMountingPlanes,NumPanels,Utility,ProductTypeAlt,PowerwallCount,UtilityCostPerKWh,OldBill,UtilityRatePlanId,UtilityInflationRate,GasRatePlanID,AverageShading,NumStories,Status
38907,JB-93311376-00,6.6,10445.8749,10160.0,SoCal and HI,CA,93313,Bakersfield,Round Tile,3740.0,2,22,Pacific Gas and Electric Company,PV Only,,0.23916199999999999,250.5375,998504487.0,0.028999999999999998,90.0,0.0,Two Stories,0
38908,JB-93311342-00,5.85,8828.7187,7974.0,SoCal and HI,CA,93314,Bakersfield,Flat Tile,3198.0,1,18,Pacific Gas and Electric Company,PV+Storage,1.0,0.22950700000000002,200.5544,998504487.0,0.028999999999999998,90.0,0.0,,0
38909,JB-93311323-00,4.8,7146.4536,5956.0,SoCal and HI,CA,93307,Bakersfield,Round Tile,2826.0,3,16,Pacific Gas and Electric Company,PV Only,,0.218521,156.5062,10.0,0.028999999999999998,90.0,0.01,One Story,0
38910,JB-93311282-00,5.4,9188.6116,9471.0,SoCal and HI,CA,93314,Bakersfield,Round Tile,2906.0,1,18,Pacific Gas and Electric Company,PV Only,,0.236474,234.6836,10.0,0.028999999999999998,90.0,0.0,One Story,0
38911,JB-931833-00,5.2,7945.1863,9783.0,SoCal and HI,CA,93117,Goleta,Comp Shingle Roof,3169.0,1,16,Southern California Edison,PV+Storage,1.0,0.21939699999999998,226.1753,200.0,0.028999999999999998,90.0,0.0,One Story,0
38912,JB-92810922-00,10.4,17675.7314,18204.0,SoCal and HI,CA,92883,Riverside County,Round Tile,2626.0,2,32,Southern California Edison,PV Only,,0.231938,399.8968,200.0,0.028999999999999998,90.0,0.0,One Story,0
38913,JB-9272349-00,5.7,9237.3291,10164.0,SoCal and HI,CA,92704,Santa Ana,Comp Shingle Roof,2528.0,1,19,Southern California Edison,PV Only,,0.23270100000000002,242.1163,200.0,0.028999999999999998,490.0,0.04,,0
38914,JB-92611855-00,6.9,9623.2136,9249.0,SoCal and HI,CA,92683,Westminster,Rolled Roofing / Torchdown / Bitumen,2526.0,1,23,Southern California Edison,PV Only,,0.22542800000000002,217.9173,200.0,0.028999999999999998,490.0,0.0,,0
38915,JB-92513037-00,3.6,5670.0122,6000.0,SoCal and HI,CA,92530,Lake Elsinore,Round Tile,2555.0,1,12,Southern California Edison,PV Only,,0.18498699999999998,140.5405,200.0,0.028999999999999998,90.0,0.0,,0
38916,JB-92512848-00,7.475,9637.6382,10396.0,SoCal and HI,CA,92504,Riverside,Comp Shingle Roof,2271.0,2,23,Riverside Utilities Department,PV Only,,0.164481,193.6656,3400.0,0.028999999999999998,90.0,0.16875,,0
38917,JB-9241160-00,9.1,13274.6793,10464.0,SoCal and HI,CA,92404,San Bernardino,Rolled Roofing / Torchdown / Bitumen,5673.0,1,28,Southern California Edison,PV Only,,0.227753,250.4092,200.0,0.028999999999999998,90.0,0.03,,0
38918,JB-9239150-00,5.4,8505.2481,9201.0,SoCal and HI,CA,92345,Hesperia,Round Tile,3208.0,1,18,Southern California Edison,PV Only,,0.20701399999999998,206.7748,200.0,0.028999999999999998,90.0,0.0,,0
38919,JB-9239105-00,3.6,5985.8614,5605.0,SoCal and HI,CA,92307,San Bernardino County,Comp Shingle Roof,2495.0,1,12,Southern California Edison,PV Only,,0.181007,132.5923,200.0,0.028999999999999998,90.0,0.0,Two Stories,0
38920,JB-92111563-00,3.6,6282.8218,4069.0,SoCal and HI,CA,92154,San Diego,Comp Shingle Roof,2669.0,1,12,San Diego Gas & Electric,PV Only,,0.236094,124.9802,998504494.0,0.028999999999999998,490.0,0.0,One Story,0
38921,JB-92111324-00,3.0,4746.9889,1429.0,SoCal and HI,CA,92119,San Diego,Comp Shingle Roof,2769.0,1,10,San Diego Gas & Electric,PV+Storage,1.0,0.21207199999999998,70.179,998504494.0,0.028999999999999998,490.0,0.0,,0
38922,JB-92015587-00,8.4,12152.9679,18531.0,SoCal and HI,CA,92056,Oceanside,Round Tile,3136.0,1,28,San Diego Gas & Electric,PV+Storage,1.0,0.364247,604.9589,998504494.0,0.028999999999999998,490.0,0.03,,0
38923,JB-9197247-00,4.875,7500.8247,7207.0,SoCal and HI,CA,91906,San Diego County,Flat Tile,2794.0,1,15,San Diego Gas & Electric,PV+Storage,1.0,0.23385100000000003,182.917,998504494.0,0.028999999999999998,490.0,0.01,,0
38924,JB-9197081-00,7.15,10979.5833,11426.0,SoCal and HI,CA,91914,Chula Vista,Flat Tile,3562.0,1,22,San Diego Gas & Electric,PV Only,,0.329752,356.4492,998504494.0,0.028999999999999998,490.0,0.0,,0
38925,JB-91714413-00,9.6,13583.185,13344.0,SoCal and HI,CA,91791,West Covina,Round Tile,3163.0,2,32,Southern California Edison,PV Only,,0.232975,309.5171,200.0,0.028999999999999998,90.0,0.01,,0
38926,JB-91714189-00,4.5,7344.8112,7167.0,SoCal and HI,CA,91754,Monterey Park,Round Tile,2693.0,2,15,Southern California Edison,PV Only,,0.205406,172.1669,200.0,0.028999999999999998,90.0,0.004666667,Two Stories,0
38927,JB-9142384-00,13.975,17524.1602,12136.0,SoCal and HI,CA,91405,Los Angeles,Comp Shingle Roof,2389.0,6,43,Los Angeles Department of Water & Power,PV+Storage,2.0,0.165325,167.1991,101.0,0.028999999999999998,40003.0,0.126744186,One Story,0
38928,JB-91315386-00,5.2,8155.0833,7904.0,SoCal and HI,CA,91355,Santa Clarita,Comp Shingle Roof,1874.0,2,16,Southern California Edison,PV Only,,0.21038,189.0197,200.0,0.028999999999999998,90.0,0.0,,0
38929,JB-91315311-00,6.5,10785.2859,7062.0,SoCal and HI,CA,91355,Santa Clarita,Round Tile,2988.0,2,20,Southern California Edison,PV Only,,0.143403,134.8416,998504373.0,0.028999999999999998,90.0,0.0895,,0
