,JobId,EngineeringSoldkWSize,EngineeringSoldAnnualkWh,EnergyConsumption,State,RoofSqFoot,NumMountingPlanes,NumPanels,PowerwallCount,UtilityCostPerKWh,OldBill,UtilityRatePlanId,UtilityInflationRate,GasRatePlanID,AverageShading,Reroof,MPU,Status,yearly_sunlight_kwh_kw_threshold_avg,yearly_sunlight_kwh_n,yearly_sunlight_kwh_s,yearly_sunlight_kwh_e,yearly_sunlight_kwh_w,yearly_sunlight_kwh_f,yearly_sunlight_kwh_median,yearly_sunlight_kwh_total
9694,JB-0302090-00,5.04,6474.2497,6759.0,NH,,1,18,,0.203674,166.5176,998504353.0,0.048,49601.0,0.01,0,0,1,978,521830,7564672,4422582,4488593,22460574,7687,39458252
9695,JB-0301992-00,8.32,8501.2924,11059.0,NH,1748.0,2,32,,0.189616,226.545,998504353.0,0.048,49601.0,0.0,0,0,1,978,521830,7564672,4422582,4488593,22460574,7687,39458252
9696,JB-029462-00,7.54,8175.2938,9390.0,RI,3122.0,3,29,,0.176103,189.5987,998504358.0,0.0372,49601.0,0.006896551999999999,0,0,1,995,973383,12819334,8673151,8080802,32349153,7569,62895825
9697,JB-0281737-00,6.9,7708.641,11144.0,RI,1528.0,3,23,,0.178232,217.3169,998504358.0,0.0372,49601.0,0.102608696,0,0,1,995,973383,12819334,8673151,8080802,32349153,7569,62895825
9698,JB-0281651-00,5.46,7365.1763,17095.0,RI,1494.0,1,21,,0.175834,302.2888,998504358.0,0.0372,49601.0,0.01,0,1,1,995,973383,12819334,8673151,8080802,32349153,7569,62895825
9699,JB-0281621-00,4.725,5376.2945,7880.0,RI,1649.0,1,15,,0.17691700000000002,167.9736,998504358.0,0.0372,49601.0,0.09,0,0,1,995,973383,12819334,8673151,8080802,32349153,7569,62895825
9700,JB-0263237-00,1.68,1591.8313,4192.0,MA,1349.0,1,6,,0.205929,129.8059,998504535.0,0.04,90398.0,0.29,0,0,1,979,629193,9109806,5364903,4973756,26668790,14817,46894852
9701,JB-0251517-00,2.52,3188.2772,2814.0,MA,2496.0,1,9,,0.199506,98.5826,9991196.0,0.04,49601.0,0.07,0,0,1,979,629193,9109806,5364903,4973756,26668790,14817,46894852
9702,JB-0235577-00,10.8,9032.9746,9120.0,MA,1393.0,4,36,,0.15540199999999998,169.9039,998504511.0,0.04,49601.0,0.146774194,0,0,1,979,629193,9109806,5364903,4973756,26668790,14817,46894852
9703,JB-0235548-00,3.36,3109.7885,3116.0,MA,1460.0,1,12,,0.19258499999999998,101.8063,9991205.0,0.04,49601.0,0.31,0,0,1,979,629193,9109806,5364903,4973756,26668790,14817,46894852
9704,JB-0216411-00,4.2,4917.8054,5021.0,MA,1480.0,1,14,,0.202045,136.3374,9991205.0,0.04,49601.0,0.055999999999999994,0,0,1,979,629193,9109806,5364903,4973756,26668790,14817,46894852
9705,JB-0184318-00,1.96,2494.7855,2485.0,MA,1140.0,1,7,,0.213916,96.0968,9991205.0,0.04,49601.0,0.16,0,0,1,979,629193,9109806,5364903,4973756,26668790,14817,46894852
9706,JB-0184131-00,3.64,2660.3554,8113.0,MA,2138.0,1,14,,0.201395,194.0279,9991205.0,0.04,90398.0,0.39,1,0,1,979,629193,9109806,5364903,4973756,26668790,14817,46894852
9707,JB-0173815-00,3.0,3061.9107,3214.0,MA,1779.0,1,10,,0.226991,112.5942,9991181.0,0.04,49601.0,0.22,0,0,1,979,629193,9109806,5364903,4973756,26668790,14817,46894852
9708,JB-0142845-00,6.76,6560.4735,9528.0,MA,1645.0,2,26,,0.24156,243.5973,9991201.0,0.04,49601.0,0.118461538,0,0,1,979,629193,9109806,5364903,4973756,26668790,14817,46894852
9709,JB-013695-00,3.36,2772.6838,2942.0,MA,1217.0,1,12,,0.203692,49.9384,998504574.0,0.04,40003.0,0.28,0,0,1,979,629193,9109806,5364903,4973756,26668790,14817,46894852
9710,JB-0121278-00,9.8,12297.4563,12863.0,MA,2357.0,1,35,,0.193446,259.1562,9991205.0,0.04,49601.0,0.05,0,0,1,979,629193,9109806,5364903,4973756,26668790,14817,46894852
9711,JB-0102589-00,11.44,9683.5671,9960.0,MA,2259.0,3,44,,0.190693,210.0732,9991213.0,0.04,49601.0,0.237272727,0,0,1,979,629193,9109806,5364903,4973756,26668790,14817,46894852
9712,JB-0102549-00,5.72,5695.4319,5777.0,MA,2424.0,1,22,,0.193102,144.761,9991213.0,0.04,49601.0,0.07,0,0,1,979,629193,9109806,5364903,4973756,26668790,14817,46894852
9713,JB-9723546-00,8.06,9055.5381,11750.0,OR,2060.0,1,31,,0.114468,162.3406,20004.0,0.038,20400.0,0.03,0,0,1,924,6238761,23644489,12752183,18686293,40394672,16291,102536694
